Gene.refGene	Mim Number	Phenotypes
ADH7	600086	
TRMT10A	616013	Microcephaly, short stature, and impaired glucose metabolism 1, 616033 (3), Autosomal recessive
MTTP	157147	"Abetalipoproteinemia, 200100 (3), Autosomal recessive; {Metabolic syndrome, protection against}, 605552 (3)"
DAPP1	605768	
LAMTOR3	603296	
H2AFZ	142763	
HWE2	613340	Epilepsy, hot water, 2, 613340 (2)
MGR1, MA	157300	{Migraine with or without aura, susceptibility to, 1}, 157300 (2), Autosomal dominant
OCA5	615312	Albinism, oculocutaneous, type V, 615312 (2), Autosomal recessive
DDIT4L	607730	
PPP3CA	114105	
BANK1	610292	
SLC39A8	608732	Congenital disorder of glycosylation, type IIn, 616721 (3), Autosomal recessive
NFKB1	164011	Immunodeficiency, common variable, 12, 616576 (3), Autosomal dominant
MANBA	609489	Mannosidosis, beta, 248510 (3), Autosomal recessive
CISD2	611507	Wolfram syndrome 2, 604928 (3), Autosomal recessive
SLC9B1	611527	
SLC9B2	611789	
CENPE	117143	?Microcephaly 13, primary, autosomal recessive, 616051 (3), Autosomal recessive
TACR3	162332	Hypogonadotropic hypogonadism 11 with or without anosmia, 614840 (3), Autosomal recessive
CXXC4	611645	
TET2	612839	Myelodysplastic syndrome, somatic, 614286 (3)
PPA2	609988	
INTS12	611355	
GSTCD	615912	
NPNT	610306	
TBCK	616899	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3, 616900 (3), Autosomal recessive
AIMP1	603605	Leukodystrophy, hypomyelinating, 3, 260600 (3), Autosomal recessive
ATFB5	611494	{Atrial fibrillation, familial, 5}, 611494 (2)
LGV1	152430	[Longevity 1], 152430 (2)
PAPSS1	603262	
SGMS2	611574	
CYP2U1	610670	Spastic paraplegia 56, autosomal recessive, 615030 (3), Autosomal recessive
HADH	601609	"3-hydroxyacyl-CoA dehydrogenase deficiency, 231530 (3), Autosomal recessive; Hyperinsulinemic hypoglycemia, familial, 4, 609975 (3), Autosomal recessive"
LEF1	153245	Sebaceous tumors, somatic (3)
RPL34	616862	
ETNPPL	614682	
COL25A1	610004	Fibrosis of extraocular muscles, congenital, 5, 616219 (3), Autosomal recessive
SEC24B	607184	
CASP6	601532	
PLA2G12A	611652	
CFI	217030	"Complement factor I deficiency, 610984 (3), Autosomal recessive; {Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923 (3), Autosomal dominant; {Macular degeneration, age-related, 13, susceptibility to}, 615439 (3), Autosomal dominant"
GAR1	606468	
RRH	605224	
LRIT3	615004	Night blindness, congenital stationary (complete), 1F, autosomal recessive, 615058 (3), Autosomal recessive
EGF	131530	Hypomagnesemia 4, renal, 611718 (3)
ELOVL6	611546	
ENPEP	138297	
PITX2	601542	"Axenfeld-Rieger syndrome, type 1, 180500 (3), Autosomal dominant; Iridogoniodysgenesis, type 2, 137600 (3), Autosomal dominant; Peters anomaly, 604229 (3); Ring dermoid of cornea, 180550 (3), Autosomal dominant"
MIR297	615520	
AP1AR	610851	
ALPK1	607347	
NEUROG2	606624	
LARP7	612026	Alazami syndrome, 615071 (3), Autosomal recessive
MIR367	614600	
MIR302D	614599	
MIR302A	614596	
MIR302C	614598	
MIR302B	614597	
ANK2	106410	"Cardiac arrhythmia, ankyrin-B-related, 600919 (3), Autosomal dominant; Long QT syndrome 4, 600919 (3), Autosomal dominant"
CAMK2D	607708	
ARSJ	610010	
UGT8	601291	
NDST4	615039	
PRSS12	606709	Mental retardation, autosomal recessive 1, 249500 (3), Autosomal recessive
METTL14	616504	
SEC24D	607186	Cole-Carpenter syndrome 2, 616294 (3), Autosomal recessive
MYOZ2	605602	Cardiomyopathy, hypertrophic, 16, 613838 (3), Autosomal dominant
FABP2	134640	
PDE5A	603310	
CELIAC6, AIS5	611598	"{Autoimmune disease, susceptibility to, 5}, 611598 (2); {Celiac disease, susceptibility to, 6}, 611598 (2)"
IDDM23	612622	{Diabetes mellitus, insulin-dependent, 23}, 612622 (2)
MRT29	614333	Mental retardation, autosomal recessive 29, 614333 (2)
MAD2L1	601467	
PRDM5	614161	Brittle cornea syndrome 2, 614170 (3), Autosomal recessive
NDNF	616506	
ANXA5	131230	{Pregnancy loss, recurrent, susceptibility to, 3}, 614391 (3), Autosomal dominant
EXOSC9	606180	
CCNA2	123835	
BBS7	607590	Bardet-Biedl syndrome 7, 615984 (3), Autosomal recessive
TRPC3	602345	?Spinocerebellar ataxia 41, 616410 (3), Autosomal dominant
KIAA1109	611565	
ADAD1	614130	
IL2	147680	Severe combined immunodeficiency due to IL2 deficiency (1)
IL21	605384	?Immunodeficiency, common variable, 11, 615767 (3), Autosomal recessive
BBS12	610683	Bardet-Biedl syndrome 12, 615989 (3), Autosomal recessive
SF	111800	[Blood group, Stoltzfus system], 111800 (2)
FGF2	134920	
SPATA5	613940	Epilepsy, hearing loss, and mental retardation syndrome, 616577 (3), Autosomal recessive
SPRY1	602465	
FAT4	612411	"Hennekam lymphangiectasia-lymphedema syndrome 2, 616006 (3), Autosomal recessive; Van Maldergem syndrome 2, 615546 (3), Autosomal recessive"
INTU	610621	
SLC25A31	610796	
PLK4	605031	Microcephaly and chorioretinopathy, autosomal recessive, 2, 616171 (3), Autosomal recessive
MFSD8	611124	"Ceroid lipofuscinosis, neuronal, 7, 610951 (3), Autosomal recessive; Macular dystrophy with central cone involvement, 616170 (3), Autosomal recessive"
PGRMC2	607735	
JADE1	610514	
SCLT1	611399	
PCDH10	608286	
PCDH18	608287	
SLC7A11	607933	
AAA2	609782	Aortic aneurysm, familial abdominal 2, 609782 (2)
DFNB26	605428	Deafness, autosomal recessive 26, 605428 (2)
PAND3	609985	Panic disorder 3, 609985 (2)
PSORS9	607857	{Psoraisis susceptibility 9}, 607857 (2)
STQTL12	612224	{Stature QTL 12}, 612224 (2)
NOCT	608468	
NDUFC1	603844	
NAA15	608000	
RAB33B	605950	Smith-McCort dysplasia 2, 615222 (3), Autosomal recessive
SETD7	606594	
MGST2	601733	
MAML3	608991	
MGAT4D	610310	
ELMOD2	610196	
UCP1	113730	{Obesity, susceptibility to}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
ZNF330	609550	
IL15	600554	
GAB1	604439	
SMARCA5	603375	
FREM3	608946	
GYPE	138590	
GYPB	111740	"[Blood group, Ss] (3); {Malaria, resistance to}, 611162 (3)"
GYPA	111300	"[Blood group, MN] (3); {Malaria, resistance to}, 611162 (3)"
HHIP	606178	
ANAPC10	613745	
ABCE1	601213	
OTUD4	611744	
SMAD1	601595	
MMAA	607481	Methylmalonic aciduria, vitamin B12-responsive, 251100 (3), Autosomal recessive
LSM6	607286	
POU4F2	113725	
EDNRA	131243	"Mandibulofacial dysostosis with alopecia, 616367 (3), Autosomal dominant; {Migraine, resistance to}, 157300 (3), Autosomal dominant"
TMEM184C	613937	
PRMT9	616125	
ARHGAP10	609746	
NR3C2	600983	"Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy, 605115 (3); Pseudohypoaldosteronism type I, autosomal dominant, 177735 (3), Autosomal dominant"
DCLK2	613166	
HSCR9	611644	{Hirschsprung disease, susceptibility to, 9}, 611644 (2)
LRBA	606453	Immunodeficiency, common variable, 8, with autoimmunity, 614700 (3), Autosomal recessive
MAB21L2	604357	Microphthalmia, syndromic 14, 615877 (3), Autosomal recessive, Autosomal dominant
RPS3A	180478	
SNORD73A	603568	
SH3D19	608674	
GATB	603645	
FBXW7	606278	
TRIM2	614141	Charcot-Marie-Tooth disease, type 2R, 615490 (3), Autosomal recessive
MND1	611422	
KIAA0922	616243	
TLR2	603028	"{Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant; {Leprosy, susceptibility to}, 246300 (3), Autosomal dominant; {Mycobacterium tuberculosis, susceptibility to}, 607948 (3)"
SFRP2	604157	
DCHS2	612486	
PLRG1	605961	
FGB	134830	"Afibrinogenemia, congenital, 202400 (3), Autosomal recessive; Dysfibrinogenemia, congenital, 616004 (3); Hypofibrinogenemia, congenital, 202400 (3), Autosomal recessive"
FGA	134820	"Afibrinogenemia, congenital, 202400 (3), Autosomal recessive; Amyloidosis, familial visceral, 105200 (3), Autosomal dominant; Dysfibrinogenemia, congenital, 616004 (3); Hypodysfibrinogenemia, congenital, 616004 (3)"
RP29	612165	Retinitis pigmentosa 29, 612165 (2), Autosomal recessive
TRIP4q32.1q32.2, C4TRIPq32.1q32.2	613603	Chromosome 4q32.1-q32.2 triplication syndrome, 613603 (4), Autosomal dominant
FGG	134850	"Afibrinogenemia, congenital, 202400 (3), Autosomal recessive; Dysfibrinogenemia, congenital, 616004 (3); Hypodysfibrinogenemia, 616004 (3); Hypofibrinogenemia, congenital, 202400 (3), Autosomal recessive"
LRAT	604863	"Leber congenital amaurosis 14, 613341 (3), Autosomal recessive; Retinal dystrophy, early-onset severe, 613341 (3), Autosomal recessive; Retinitis pigmentosa, juvenile, 613341 (3), Autosomal recessive"
NPY2R	162642	
MAP9	610070	
GUCY1A3	139396	Moyamoya 6 with achalasia, 615750 (3), Autosomal recessive
GUCY1B3	139397	
ASIC5	616693	
TDO2	191070	
CTSO	600550	
PDGFC	608452	
GLRB	138492	Hyperekplexia 2, autosomal recessive, 614619 (3)
GRIA2	138247	
RXFP1	606654	
C4orf46	616210	
ETFDH	231675	Glutaric acidemia IIC, 231680 (3), Autosomal recessive
PPID	601753	
FNIP2	612768	
NPY1R	162641	
NPY5R	602001	
MARCH1	613331	
CINN	611109	[Cinnamon odor, pleasantness of], 611109 (2)
HDLCQ4	610239	[High density lipoprotein cholesterol level QTL 4], 610239 (2)
ANP32C	606877	
APELA	615594	
KLHL2	605774	
MSMO1	607545	Microcephaly, congenital cataract, and psoriasiform dermatitis, 616834 (3), Autosomal recessive
CPE	114855	
TLL1	606742	Atrial septal defect 6, 613087 (3), Autosomal dominant
SPOCK3	607989	
ANXA10	608008	
DDX60	613974	
DDX60L	616725	
PALLD	608092	{Pancreatic cancer, susceptibility to, 1}, 606856 (3)
HCA1	607258	Hypercalciuria, absorptive, 607258 (2)
NEK1	604588	Short-rib thoracic dysplasia 6 with or without polydactyly, 263520 (3), Autosomal recessive, Digenic recessive
CLCN3	600580	
HPF1	616614	
MFAP3L	616523	
AADAT	611754	
GALNTL6	615138	
GALNT7	605005	
HMGB2	163906	
SAP30	603378	
SCRG1	603163	
HAND2	602407	
MORF4	116960	
FBXO8	605649	
MIR4276	616274	
HPGD	601688	"Cranioosteoarthropathy, 259100 (3), Autosomal recessive; Digital clubbing, isolated congenital, 119900 (3), Autosomal dominant; Hypertrophic osteoarthropathy, primary, autosomal recessive 1, 259100 (3), Autosomal recessive"
GLRA3	600421	
ADAM29	604778	
GPM6A	601275	
WDR17	609005	
SPATA4	609879	
ASB5	615050	
HMSN5	600361	Hereditary motor and sensory neuropathy V, 600361 (2), Autosomal dominant
SCA30	613371	?Spinocerebellar ataxia 30, 613371 (2), Autosomal dominant
VEGFC	601528	Lymphedema, hereditary, ID, 615907 (3), Autosomal dominant
AGA	613228	Aspartylglucosaminuria, 208400 (3), Autosomal recessive
TENM3	610083	?Microphthalmia, isolated, with coloboma 9, 615145 (3), Autosomal recessive
DFNA24	606282	Deafness, autosomal dominant 24, 606282 (2), Autosomal dominant
DKBI	127600	Dyskeratosis, hereditary benign intraepithelial, 127600 (2), Autosomal dominant
FSHD1, FSHD1A	158900	Facioscapulohumeral muscular dystrophy 1, 158900 (4), Autosomal dominant
DCTD	607638	
CDKN2AIP	615914	
ING2	604215	
TRAPPC11	614138	Muscular dystrophy, limb-girdle, type 2S, 615356 (3), Autosomal recessive
ENPP6	616983	
IRF2	147576	
CASP3	600636	
PRIMPOL	615421	Myopia 22, autosomal dominant, 615420 (3), Autosomal dominant
CENPU	611511	
ACSL1	152425	
SLC25A4	103220	"Mitochondrial DNA depletion syndrome 12 (cardiomyopathic type), 615418 (3), Autosomal recessive; Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2, 609283 (3), Autosomal dominant"
CFAP97	616047	
UFSP2	611482	?Hip dysplasia, Beukes type, 142669 (3), Autosomal dominant
CCDC110	609488	
PDLIM3	605889	
SORBS2	616349	
TLR3	603029	"{HIV1 infection, resistance to}, 609423 (3); {Herpes simplex encephalitis, susceptibility to, 2}, 613002 (3)"
CYP4V2	608614	Bietti crystalline corneoretinal dystrophy, 210370 (3), Autosomal recessive
KLKB1	229000	Fletcher factor (prekallikrein) deficiency, 612423 (3), Autosomal recessive
F11	264900	"Factor XI deficiency, autosomal dominant, 612416 (3); Factor XI deficiency, autosomal recessive, 612416 (3)"
MTNR1A	600665	
FAT1	600976	
ZFP42	614572	
FRG1	601278	
DUX4L9	615581	
FRG2	609032	
DBET	614865	
DUX4L8	611442	
DUX4	606009	
LAG5	151450	Neutropenia, neonatal alloimmune (1)
TS13	187320	
ASD1	108800	Atrial septal defect 1, 108800 (2), Autosomal dominant
BCC3	613059	{Basal cell carcinoma, susceptibility to, 3}, 613059 (2)
GLM8	613033	{Glioma susceptibility 8}, 613033 (2)
LNCR3	612571	{Lung cancer susceptibility 3}, 612571 (2)
LSINCT5	615764	
MCDR3	608850	Macular dystrophy, retinal, 3, 608850 (2), Autosomal dominant
MHS6	601888	{Malignant hyperthermia susceptibility 6}, 601888 (2)
MYP16	612554	Myopia 16, 612554 (2)
TST2	613637	[Tuberculin skin test reactivity QTL], 613637 (2)
SDHA	600857	"Cardiomyopathy, dilated, 1GG, 613642 (3); Leigh syndrome, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial respiratory chain complex II deficiency, 252011 (3), Autosomal recessive; Paragangliomas 5, 614165 (3), Autosomal dominant"
PDCD6	601057	
AHRR	606517	
EXOC3	608186	
SLC9A3	182307	Diarrhea 8, secretory sodium, congenital, 616868 (3), Autosomal recessive
CEP72	616475	
TPPP	608773	
TRIP13	604507	
NKD2	607852	
SLC12A7	604879	
SLC6A19	608893	"Hartnup disorder, 234500 (3), Autosomal recessive; Hyperglycinuria, 138500 (3), Autosomal dominant; Iminoglycinuria, digenic, 242600 (3), Autosomal recessive"
SLC6A18	610300	
TERT	187270	"{Dyskeratosis congenita, autosomal dominant 2}, 613989 (3), Autosomal recessive, Autosomal dominant; {Dyskeratosis congenita, autosomal recessive 4}, 613989 (3), Autosomal recessive, Autosomal dominant; {Leukemia, acute myeloid}, 601626 (3), Autosomal dominant; {Melanoma, cutaneous malignant, 9}, 615134 (3); {Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1}, 614742 (3), Autosomal dominant"
CLPTM1L	612585	
SLC6A3	126455	"{Nicotine dependence, protection against}, 188890 (3); Parkinsonism-dystonia, infantile, 613135 (3), Autosomal recessive"
LPCAT1	610472	
MRPL36	611842	
NDUFS6	603848	Mitochondrial complex I deficiency, 252010 (3), Autosomal recessive, X-linked dominant, Mitochondrial
IRX4	606199	
IRX2	606198	
C5orf38	610522	
IRX1	606197	
ADAMTS16	607510	
FAME3, FCMTE3	613608	Epilepsy, myoclonic, familial adult, 3, 613608 (2), Autosomal dominant
MED10	612382	
UBE2QL1	615832	
LINC01018	616385	
NSUN2	610916	Mental retardation, autosomal recessive 5, 611091 (3), Autosomal recessive
SRD5A1	184753	
PAPD7	605198	
ADCY2	103071	
MTRR	602568	"Homocystinuria-megaloblastic anemia, cbl E type, 236270 (3), Autosomal recessive; {Neural tube defects, folate-sensitive, susceptibility to}, 601634 (3), Autosomal recessive"
SEMA5A	609297	
TAS2R1	604796	
ADIPQTL2, CAQ5	606770	{Adiponectin, serum level of, QTL2}, 606770 (2)
ANIB4	610213	Aneurysm, intracranial berry, 4, 610213 (2)
CCT5	610150	Neuropathy, hereditary sensory, with spastic paraplegia, 256840 (3), Autosomal recessive
CMBL	613379	
MARCH6	613297	
ROPN1L	611756	
DAP	600954	
CTNND2	604275	
DNAH5	603335	Ciliary dyskinesia, primary, 3, with or without situs inversus, 608644 (3)
TRIO	601893	
OTULIN	615712	
ANKH	605145	"Chondrocalcinosis 2, 118600 (3), Autosomal dominant; Craniometaphyseal dysplasia, 123000 (3), Autosomal dominant"
MYP19	613969	Myopia 19, 613969 (2), Autosomal dominant
PVNH3	608098	Periventricular nodular heterotopia 3, 608098 (2)
FBXL7	605656	
MARCH11	613338	
FAM134B	613114	Neuropathy, hereditary sensory and autonomic, type IIB, 613115 (3), Autosomal recessive
MYO10	601481	
BASP1	605940	
MLVI2	157960	
CDH18	603019	
CDH12	600562	
PMCHL1	176793	
PRDM9	609760	
CDH10	604555	
CDH9	609974	
ADHD4	608906	{Attention deficit-hyperactivity disorder}, 143465 (2), Autosomal dominant
BDA1B	607004	Brachydactyly, type A1, B, 607004 (2), Autosomal dominant
DUP5p13, C5DUPp13	613174	Chromosome 5p13 duplication syndrome, 613174 (4), Isolated cases
HYT6	610262	{Hypertension, essential, susceptibility to, 6}, 145500 (2), Multifactorial
KYPSC1	610170	Kyphoscoliosis 1, 610170 (2)
CDH6	603007	
DROSHA	608828	
PDZD2	610697	
GOLPH3	612207	
MTMR12	606501	
ZFR	615635	
SUB1	600503	
NPR3	108962	?Hypertension, salt-resistant (1)
TARS	187790	
ADAMTS12	606184	
MS3	612595	{Multiple sclerosis, susceptibility to, 3}, 612595 (2)
RXFP3	609445	
SLC45A2	606202	"Albinism, oculocutaneous, type IV, 606574 (3); [Skin/hair/eye pigmentation 5, black/nonblack hair], 227240 (3), Autosomal recessive; [Skin/hair/eye pigmentation 5, dark/fair skin], 227240 (3), Autosomal recessive; [Skin/hair/eye pigmentation 5, dark/light eyes], 227240 (3), Autosomal recessive"
AMACR	604489	"Alpha-methylacyl-CoA racemase deficiency, 614307 (3), Autosomal recessive; Bile acid synthesis defect, congenital, 4, 214950 (3), Autosomal recessive"
C1QTNF3	612045	
RAI14	606586	
TTC23L	616344	
RAD1	603153	
AGXT2	612471	
PRLR	176761	"?Hyperprolactinemia, 615555 (3), Autosomal dominant; Multiple fibroadenomas of the breast, 615554 (3), Autosomal dominant"
SPEF2	610172	
IL7R	146661	Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type, 608971 (3), Autosomal recessive
UGT3A1	616383	
UGT3A2	616384	
SKP2	601436	
NADK2	615787	?2,4-dienoyl-CoA reductase deficiency, 616034 (3), Autosomal recessive
RANBP3L	616391	
SLC1A3	600111	Episodic ataxia, type 6, 612656 (3)
NIPBL	608667	Cornelia de Lange syndrome 1, 122470 (3), Autosomal dominant
C5orf42	614571	"Joubert syndrome 17, 614615 (3), Autosomal recessive; Orofaciodigital syndrome VI, 277170 (3), Autosomal recessive"
NUP155	606694	?Atrial fibrillation 15, 615770 (3), Autosomal recessive
GDNF	600837	"Central hypoventilation syndrome, 209880 (3), Autosomal dominant; {Hirschsprung disease, susceptibility to, 3}, 613711 (3); {Pheochromocytoma, modifier of}, 171300 (3), Autosomal dominant"
IBD18	612262	{Inflammatory bowel disease 18}, 612262 (2)
LIFR	151443	Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome, 601559 (3), Autosomal recessive
OSMR	601743	Amyloidosis, primary localized cutaneous, 1, 105250 (3), Autosomal dominant
FYB	602731	
C9	120940	"C9 deficiency, 613825 (3); {Macular degeneration, age-related, 15, susceptibility to}, 615591 (3)"
DAB2	601236	
PTGER4	601586	
PRKAA1	602739	
RPL37	604181	
CARD6	609986	
C7	217070	C7 deficiency, 610102 (3)
C6	217050	"C6 deficiency, 612446 (3); Combined C6/C7 deficiency (3)"
OXCT1	601424	Succinyl CoA:3-oxoacid CoA transferase deficiency, 245050 (3)
FBXO4	609090	
GHR	600946	"Growth hormone insensitivity, partial, 604271 (3); {Hypercholesterolemia, familial, modifier of}, 143890 (3), Autosomal dominant; Increased responsiveness to growth hormone (3); Laron dwarfism, 262500 (3), Autosomal recessive"
SEPP1	601484	
ANXA2R	611296	
ZNF131	604073	
HMGCS1	142940	
CCL28	605240	
PAIP1	605184	
NNT	607878	Glucocorticoid deficiency 4, 614736 (3), Autosomal recessive
FGF10	602115	"Aplasia of lacrimal and salivary glands, 180920 (3), Autosomal dominant; LADD syndrome, 149730 (3), Autosomal dominant"
MRPS30	611991	
HCN1	602780	Epileptic encephalopathy, early infantile, 24, 615871 (3), Autosomal dominant
BSZQTL2	609657	{Bone size QTL}, 609657 (2)
EMB	615669	
ISL1	600366	
PELO	605757	
ITGA1	192968	
ITGA2	192974	?Glycoprotein Ia deficiency, 614200 (1), Autosomal dominant
MOCS2	603708	Molybdenum cofactor deficiency B, 252160 (3), Autosomal recessive
FST	136470	
NDUFS4	602694	"Leigh syndrome, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial complex I deficiency, 252010 (3), Autosomal recessive, X-linked dominant, Mitochondrial"
HSPB3	604624	?Neuronopathy, distal hereditary motor, type IIC, 613376 (3), Autosomal dominant
ESM1	601521	
GZMA	140050	
MIR449A	613131	
MIR449B	613132	
MCIDAS	614086	
CCNO	607752	Ciliary dyskinesia, primary, 29, 615872 (3), Autosomal recessive
DHX29	612720	
SLC38A9	616203	
DDX4	605281	
IL31RA	609510	Amyloidosis, primary localized cutaneous, 2, 613955 (3)
IL6ST	600694	
ANKRD55	615189	
MAP3K1	600982	46XY sex reversal 6, 613762 (3), Autosomal dominant
GPBP1	608412	
ACTBL2	614835	
PLK2	607023	
RAB3C	612829	
PDE4D	600129	"Acrodysostosis 2, with or without hormone resistance, 614613 (3), Autosomal dominant; {Stroke, susceptibility to, 1}, 606799 (3)"
DEL5q12, C5DELq12	615668	Chromosome 5q12 deletion syndrome, 615668 (4), Autosomal dominant
EJM4	611364	Myoclonic epilepsy, juvenile, 4, 611364 (2), Autosomal dominant
PART1	604991	
DEPDC1B	616073	
ELOVL7	614451	
ERCC8	609412	"Cockayne syndrome, type A, 216400 (3), Autosomal recessive; UV-sensitive syndrome 2, 614621 (3), Autosomal recessive"
NDUFAF2	609653	"Leigh syndrome, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial complex I deficiency, 252010 (3), Autosomal recessive, X-linked dominant, Mitochondrial"
ZSWIM6	615951	Acromelic frontonasal dysostosis, 603671 (3), Autosomal dominant
KIF2A	602591	Cortical dysplasia, complex, with other brain malformations 3, 615411 (3), Autosomal dominant
DIMT1	612499	
IPO11	610889	
HTR1A	109760	Periodic fever, menstrual cycle dependent, 614674 (3), Autosomal dominant
RNF180	616015	
RGS7BP	610890	
ADAMTS6	605008	
CENPK	611502	
TRIM23	601747	
NLN	611530	
ERBIN	606944	
SREK1	609268	
CD180	602226	
AAT2, FAA2	607087	Aortic aneurysm, familial thoracic 2, 607087 (2)
GINGF2	605544	Fibromatosis, gingival, 2, 605544 (2)
TSHQTL1	612306	[Thyroid-stimulating hormone level QTL 1], 612306 (2)
PIK3R1	171833	"?Agammaglobulinemia 7, autosomal recessive, 615214 (3), Autosomal recessive; Immunodeficiency 36, 616005 (3), Autosomal dominant; SHORT syndrome, 269880 (3), Autosomal dominant"
SLC30A5	607819	
CCNB1	123836	
CENPH	605607	
MRPS36	611996	
CDK7	601955	
CCDC125	613781	
TAF9	600822	
RAD17	603139	
MARVELD2	610572	Deafness, autosomal recessive 49, 610153 (3), Autosomal recessive
OCLN	602876	Band-like calcification with simplified gyration and polymicrogyria, 251290 (3), Autosomal recessive
SMN2	601627	{Spinal muscular atrophy, type III, modifier of}, 253400 (3), Autosomal recessive
SERF1A	603011	
SMN1	600354	"Spinal muscular atrophy-1, 253300 (3), Autosomal recessive; Spinal muscular atrophy-2, 253550 (3), Autosomal recessive; Spinal muscular atrophy-3, 253400 (3), Autosomal recessive; Spinal muscular atrophy-4, 271150 (3), Autosomal recessive"
NAIP	600355	
GTF2H2	601748	
PMCHL2	176794	
BDP1	607012	
MCCC2	609014	3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3), Autosomal recessive
CARTPT	602606	{?Obesity, susceptibility to}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
MAP1B	157129	
MRPS27	611989	
PTCD2	615484	
ZNF366	610159	
TNPO1	602901	
FCHO2	613438	
TMEM174	614909	
FOXD1	601091	
ANKRA2	605787	
UTP15	616194	
ARHGEF28	612790	
ENC1	605173	
HEXB	606873	Sandhoff disease, infantile, juvenile, and adult forms, 268800 (3), Autosomal recessive
GFM2	606544	
NSA2	612497	
FAM169A	615769	
GCNT4	616782	
HMGCR	142910	"[Low density lipoprotein cholesterol level QTL 3] (3); [Statins, attenuated cholesterol lowering by] (3)"
COL4A3BP	604677	Mental retardation, autosomal dominant 34, 616351 (3)
POLK	605650	
SV2C	610291	
IQGAP2	605401	
F2RL2	601919	
F2R	187930	
F2RL1	600933	
S100Z	610103	
CRHBP	122559	
AGGF1	608464	
ZBED3	615250	
PDE8B	603390	"Pigmented nodular adrenocortical disease, primary, 3, 614190 (3); Striatal degeneration, autosomal dominant, 609161 (3), Autosomal dominant"
TELAB1	187260	Telangiectasia, hereditary benign, 187260 (2), Autosomal dominant
KTCN5	614622	Keratoconus 5, 614622 (2), Autosomal dominant
OTP	604529	
TBCA	610058	
AP3B1	603401	Hermansky-Pudlak syndrome 2, 608233 (3), Autosomal recessive
SCAMP1	606911	
LHFPL2	609718	
ARSB	611542	Mucopolysaccharidosis type VI (Maroteaux-Lamy), 253200 (3), Autosomal recessive
DMGDH	605849	Dimethylglycine dehydrogenase deficiency, 605850 (3), Autosomal recessive
BHMT2	605932	
BHMT	602888	
JMY	604279	
HOMER1	604798	
PAPD4	614121	
CMYA5	612193	
SERINC5	614551	
ZFYVE16	608880	
DHFR	126060	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive
MSH3	600887	Endometrial carcinoma, somatic, 608089 (3)
RASGRF2	606614	
CKMT2	123295	
ACOT12	614315	
SSBP2	607389	
ATG10	610800	
VUR4	614317	Vesicoureteral reflux 4, 614317 (2)
RPS23	603683	
SCARNA18	611329	
XRCC4	194363	Short stature, microcephaly, and endocrine dysfunction, 616541 (3), Autosomal recessive
VCAN	118661	Wagner syndrome 1, 143200 (3), Autosomal dominant
PVNH5	612881	Periventricular nodular heterotopia 5, 612881 (4)
HAPLN1	115435	
COX7C	603774	
RASA1	139150	"Basal cell carcinoma, somatic, 605462 (3); Capillary malformation-arteriovenous malformation, 608354 (3), Autosomal dominant; Parkes Weber syndrome, 608355 (3)"
CCNH	601953	
LINC00461	616611	
MIR9-2	611187	
MEF2C	600662	"Chromosome 5q14.3 deletion syndrome, 613443 (4), Isolated cases; Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations, 613443 (3), Isolated cases"
CETN3	602907	
ADGRV1	602851	"?Febrile seizures, familial, 4, 604352 (3), Autosomal dominant; Usher syndrome, type 2C, 605472 (3), Autosomal recessive, Digenic dominant; Usher syndrome, type 2C, GPR98/PDZD7 digenic, 605472 (3), Autosomal recessive, Digenic dominant"
ARRDC3	612464	
NR2F1	132890	Bosch-Boonstra-Schaaf optic atrophy syndrome, 615722 (3), Autosomal dominant
MCTP1	616296	
TTC37	614589	Trichohepatoenteric syndrome 1, 222470 (3), Autosomal recessive
ARSK	610011	
RHOBTB3	607353	
GLRX	600443	
ELL2	601874	
PCSK1	162150	"Obesity with impaired prohormone processing, 600955 (3), Isolated cases; {Obesity, susceptibility to, BMIQ12}, 612362 (3)"
CAST	114090	Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads, 616295 (3), Autosomal recessive
ERAP1	606832	
ERAP2	609497	
LNPEP	151300	
LIX1	610466	
RGMB	612687	
CHD1	602118	
MGR8	609570	{Migraine, susceptibility to, 8}, 609570 (2)
ST8SIA4	602547	
SLCO4C1	609013	
SLCO6A1	613365	
PAM	170270	
PPIP5K2	611648	
C5orf30	616608	
MDBS2	608970	Macular dystrophy, butterfly-shaped pigmentary, 2, 608970 (2), Autosomal dominant
FBXL17	609083	
